RecordNumber,Zipcode,City,State
45184,93226,GLENNVILLE,CA
45185,93227,GOSHEN,CA
45186,93433,GROVER BEACH,CA
45187,93433,PISMO BEACH,CA
45188,93483,GROVER BEACH,CA
45189,93434,GUADALUPE,CA
45190,93230,HANFORD,CA
45191,93232,HANFORD,CA
45192,93234,HURON,CA
45193,93526,INDEPENDENCE,CA
45194,93526,ABERDEEN,CA
45195,93527,INYOKERN,CA
45196,93527,PEARSONVILLE,CA
45197,93542,LITTLE LAKE,CA
45198,93235,IVANHOE,CA
45199,93528,JOHANNESBURG,CA
45200,93554,RANDSBURG,CA
45201,93554,JOHANNESBURG,CA
45202,93554,GARLOCK,CA
45203,93558,RED MOUNTAIN,CA
45204,93558,JOHANNESBURG,CA
45205,93529,JUNE LAKE,CA
45206,93529,JUNE LAKE JUNCTION,CA
45207,93530,KEELER,CA
45208,93531,KEENE,CA
45209,93238,KERNVILLE,CA
45210,93238,RIVER KERN,CA
45211,93239,KETTLEMAN CITY,CA
45212,93239,KETTLEMAN CTY,CA
45213,91011,LA CANADA FLINTRIDGE,CA
45214,91011,FLINTRIDGE,CA
45215,91011,LA CANADA,CA
45216,91011,LA CANADA FLT,CA
45217,91012,LA CANADA FLINTRIDGE,CA
45218,91012,LA CANADA,CA
45219,91012,LA CANADA FLT,CA
45220,91023,MOUNT WILSON,CA
45221,93532,LAKE HUGHES,CA
45222,93532,ELIZABETH LAKE,CA
45223,93532,ELIZABETH LK,CA
45224,93532,LAKE ELIZABETH,CA
45225,93532,LEONA VALLEY,CA
45226,93532,SANDBERG,CA
45227,93532,THREE POINTS,CA
45228,93240,LAKE ISABELLA,CA
45229,93240,MOUNTAIN MESA,CA
45230,93241,LAMONT,CA
45231,93534,LANCASTER,CA
45232,93534,DEL SUR,CA
45233,93534,FAIRMONT,CA
45234,93534,HI VISTA,CA
45235,93534,LANE,CA
45236,93534,WILSONA GARDENS,CA
45237,93535,LANCASTER,CA
45238,93535,HI VISTA,CA
45239,93535,LAKE LA,CA
45240,93535,LAKE LOS ANGELES,CA
45241,93535,ROOSEVELT CORNER,CA
45242,93535,WILSONA GARDENS,CA
45243,93536,LANCASTER,CA
45244,93536,DEL SUR,CA
45245,93536,QUARTZ HILL,CA
45246,93536,FAIRMONT,CA
45247,93536,METLER VALLEY,CA
45248,93536,NEENACH,CA
45249,93539,LANCASTER,CA
45250,93584,LANCASTER,CA
45251,93586,LANCASTER,CA
45252,93586,QUARTZ HILL,CA
45253,93242,LATON,CA
45254,93243,LEBEC,CA
45255,93243,GORMAN,CA
45256,93541,LEE VINING,CA
45257,93541,MONO CITY,CA
45258,93541,MONO LAKE,CA
45259,93244,LEMON COVE,CA
45260,93245,LEMOORE,CA
45261,93245,LEMOORE NAS,CA
45262,93246,LEMOORE,CA
45263,93246,LEMOORE NAS,CA
45264,93246,LEMOORE NAVAL AIR STATION,CA
45265,93246,NAS LEMOORE,CA
45266,93246,US NAVAL AIR STATION,CA
45267,93247,LINDSAY,CA
45268,93247,CAIRNS CORNER,CA
45269,93247,TONYVILLE,CA
45270,93543,LITTLEROCK,CA
45271,93543,JUNIPER HILLS,CA
45272,93543,SUN VILLAGE,CA
45273,93544,LLANO,CA
45274,93544,CRYSTALAIRE,CA
45275,93436,LOMPOC,CA
45276,93436,VANDENBERG VILLAGE,CA
45277,93437,LOMPOC,CA
45278,93437,VAFB,CA
45279,93437,VANDENBERG AFB,CA
45280,93437,VANDENBRG AFB,CA
45281,93437,VANDENBERG AIR FORCE BASE,CA
45282,93438,LOMPOC,CA
45283,93545,LONE PINE,CA
45284,93545,ALABAMA HILLS,CA
45285,93545,DOLOMITE,CA
45286,93545,PANAMINT SPRINGS,CA
45287,93545,SWANSEA,CA
45288,93440,LOS ALAMOS,CA
